Artist_name,Day,Genre,Popularity_score,Monthly_listeners (Mei 2026),Energy,Tempo,Is_headliner
ali,1,indonesian rock,0.007242,"128,110",5,102.3333333,0
barasuara,1,indie rock,0.379183,"5,811,614",4,93,0
idgitaf,1,indonesian pop,0.922344,"14,111,488",7,141.3333333,0
lomba sihir,1,alternative pop,0.132689,"2,045,030",4,93.66666667,0
michael learns to rock,1,soft rock,0.235764,"3,620,074",7,137.3333333,1
mocca,1,indie pop,0.012551,"209,229",7,130,0
perunggu playing jazz,1,indie rock,0.578344,"8,854,929",7,134.3333333,0
rony parulian,1,pop,0.379028,"5,809,247",7,132.6666667,0
salma salsabil playing jazz,1,pop,0.167278,"2,573,572",5,111.3333333,0
the panturas playing jazz,1,surf rock,0.065851,"1,023,701",5,109,0
xdinary heroes,1,k-rock,0.067962,"1,055,956",5,107,0
dinda ghania,2,pop,0.006626,"118,690",7,134.6666667,0
fryda lucyana,2,pop jazz,0.001699,"43,413",5,107.6666667,0
joey alexander,2,jazz,0.006293,"113,607",5,111.6666667,0
kahitna,2,pop jazz,0.46445,"7,114,558",7,131.6666667,0
karimata,2,jazz fusion,0.000033,"17,957",5,105,0
letto,2,alternative rock,0.173978,"2,675,955",5,101,0
margie segers,2,jazz,0.000699,"28,123",7,135.6666667,0
modulus,2,electronic jazz,0,"17,447",6,119.6666667,0
niki,2,r&b pop,1,"15,298,122",8,150,1
societeit de harmonie,2,orchestra,0.001626,"42,300",4,97.66666667,0
yovie & nuno,2,pop,0.552267,"8,456,454",7,139.3333333,0
ari lasso,3,rock,0.371684,"5,697,033",8,154.6666667,0
fariz rm,3,jazz pop,0.008809,"152,059",6,115.6666667,0
jikustik,3,pop rock,0.074817,"1,160,702",5,112,0
kla project,3,pop rock,0.024626,"393,748",6,122.6666667,0
maliq d'essentials,3,jazz fusion,0.159517,"2,454,975",4,99.66666667,0
nonaria,3,indonesian jazz,0.006121,"110,984",6,129,0
rio febrian 'a night on broadway',3,pop,0.024485,"391,589",6,124.3333333,0
tulus,3,jazz pop,0.908098,"13,893,805",3,83,0
the rose,3,k-rock,0.085033,"1,316,802",7,132.3333333,1
